net_id,E-E,E-N,N-E,N-N
rand_0.1_567_net.csv,597,1414,1951,5093
rand_0.1_568_net.csv,614,1398,1933,5110
rand_0.1_569_net.csv,618,1399,1924,5114
rand_0.1_57_net.csv,606,1406,1941,5103
rand_0.1_570_net.csv,612,1409,1926,5108
rand_0.1_571_net.csv,613,1421,1912,5109
rand_0.1_572_net.csv,604,1407,1944,5100
rand_0.1_573_net.csv,612,1413,1922,5108
rand_0.1_574_net.csv,624,1401,1910,5120
rand_0.1_575_net.csv,631,1392,1905,5127
rand_0.1_576_net.csv,623,1396,1917,5119
rand_0.1_577_net.csv,618,1391,1932,5114
rand_0.1_578_net.csv,602,1416,1939,5098
rand_0.1_579_net.csv,602,1399,1956,5098
rand_0.1_58_net.csv,608,1411,1932,5105
rand_0.1_580_net.csv,608,1400,1943,5104
rand_0.1_581_net.csv,614,1407,1924,5110
rand_0.1_582_net.csv,613,1415,1918,5109
rand_0.1_583_net.csv,599,1439,1922,5095
rand_0.1_584_net.csv,602,1445,1910,5098
rand_0.1_585_net.csv,600,1446,1913,5096
rand_0.1_586_net.csv,616,1412,1915,5112
rand_0.1_587_net.csv,609,1426,1915,5105
rand_0.1_588_net.csv,605,1440,1909,5101
rand_0.1_589_net.csv,608,1422,1921,5104
rand_0.1_59_net.csv,597,1403,1962,5094
rand_0.1_590_net.csv,627,1426,1879,5123
rand_0.1_591_net.csv,624,1411,1900,5120
rand_0.1_592_net.csv,617,1434,1891,5113
rand_0.1_593_net.csv,615,1425,1904,5111
rand_0.1_594_net.csv,624,1423,1888,5120
rand_0.1_595_net.csv,621,1429,1888,5117
rand_0.1_596_net.csv,612,1423,1912,5108
rand_0.1_597_net.csv,619,1426,1895,5115
